Company Name,Ticker,Q(1) Consensus Sales Est. (Mil.),% Change F1 Est. (4 weeks),% Change Q2 Est. (4 weeks),% Change Q1 Est. (4 weeks),% Change Q0 Est. (4 weeks),Last EPS Surprise (%),Previous EPS Surprise (%),Avg EPS Surprise (Last 4 Qtrs),Actual EPS used in Surprise ($/sh),Last Qtr EPS,Last Yr's EPS (F0) Before NRI,12 Mo Trailing EPS,% Rating Downgrades ,% Change F2 Est. (4 weeks),% Change LT Growth Est. (4 weeks),St. Dev. F1 / F1 Consensus,5 Yr Historical Sales Growth,Sales Growth F(0)/F(-1),% Ratio of Q1/prior Yr Q1 Actual Q(-3),% Ratio of Q1/Q0,This Yr`s Est.d Growth (F(1)/F(0)),Last Yrs Growth (F[0] / F [-1]),F0 Consensus Est.,Q2 Consensus Est. (next fiscal Qtr),St. Dev. Q1 / Q1 Consensus,Earnings ESP (Expected Surprise Prediction),F2 Consensus Est.,F1 Consensus Est.,% Rating Upgrades ,% Rating Hold,Beta,% Price Change (12 Weeks),% Price Change (4 Weeks),Last Close,52 Week High,52 Week Low,Price as a % of 52 Wk H-L Range,Shares Outstanding ,Avg Volume,Market Cap ,Sector,Optionable,Industry,Average Target Price,# of Brokers in Rating,Change in Avg Rec ,Rank in Industry (of ABR),% Rating Change - 4 Weeks,Industry Rank (of ABR),Current Avg Broker Rec,% Rating Strong Sell or Sell,# Rating Hold,# Rating Strong Sell or Sell,# Rating Downgrades ,# Rating Upgrades,# Rating Strong Buy or Buy,% Rating Strong Buy or Buy,Exchange,F(1) Consensus Sales Est. (Mil.),% Price Change (1 Week),Common Equity,Intangibles,Preferred Equity,Long Term Debt ,Current Assets ,Inventory ,Receivables ,Operating Margin 12 Mo,Net Margin,Inventory Turnover,Asset Utilization,5 Yr Hist. Div. Growth %,Book Value,Current Liabilities ,Relative Price Change,Q0 Consensus Est. (last completed fiscal Qtr),Q1 Consensus Est. ,Cost of Goods Sold,EBITDA ,Current Ratio,Debt/Total Capital,Debt/Equity Ratio,Quick Ratio,Cash Ratio,Turnover,Dividend ,5 Yr Div. Yield %,Current ROA (TTM),ROA (5 Yr Avg),ROI (5 Yr Avg),P/E (F1),Current ROI (TTM),Current ROE (TTM),St. Dev. Q2 / Q2 Consensus,Price/Cash Flow,P/E (F2),Price/Sales,Price/Book,P/E (Trailing 12 Months),Market Value/# Analysts,Long-Term Growth Consensus Est.,Div. Yield %,12 Mo. Net Income Current-1Q/Last-1Q %,12 Mo. Net Income Current/Last %,Net Income Growth F(0)/F(-1),Cash Flow ,Net Income ,EBIT ,Pretax Income ,% Price Change (YTD),Annual Sales,PEG Ratio,5 Yr. Hist. EPS Growth,% Change EPS (F(-1)/F(-2)),S&P 500,
ANALOG DEVICES,ADI,761.98602,-.52,-.81,-.61,.1,0,5,3.49,.62999,.63,2.14,2.33,0,-1.58,0,.04514,2.68,-2.5,99.19,,18.05,.47,2.39,.69,.06,1.47,3.11,2.82,0,54.55,1.19,-1.02,8.37,50.22,55.79,43.1,56.11,314.21,3249591.5,15779.78,Computer and Technology,YES,SEMI-ANALOG & MIXED,55.95,22,0,10,0,82,2.09,0,12,0,0,0,10,45.45,NSDQ,3233.77392,6.85,4739.56982,312.66,0,872.23999,5472.41992,283.32998,325.14001,27.03,,2.9209,.38499,15.62899,15.94,570.51,-10.27,.68,.62,941.27001,952.83001,2.26,14.84099,,,,7.7435,1.45,2.82,10.41,13.73799,15.897,17.83,12.85,15.15,.05,20.07,16.16,5.78,3.15,21.55,830.51464,11.2,2.95,,10.91,3.41661,777.61602,673.47998,842.41998,815.32,-1.39,2633.69,1.59,8,10.91,YES,
ARCHER DANIELS,ADM,24198.41015,1.19,-.27,-5.04,1.11,6.58,2.67,-1.32,.81,.81,2.33,3.08,0,.34,,.01641,9.89,.86,95.79,112.35,31.24,1.3,2.23,.93,.09,-2.2,3.46,3.06,0,27.27,.78,0,6.03,49.97,52.06,38.23,84.89,645.52,4359057,32256.69,Consumer Staples,YES,AGRICULTURE OPERATIONS,52,11,0,4,0,141,1.91,9.09,3,1,0,0,7,63.64,NYSE,87367.82812,7.28,20194,759,0,5347,28530,11441,3224,2.06,.01,8.0177,2.1066,10.817,30.89,15658,4.77,.76,.91,85915,3346,1.94,20.982,.26,1.09,.88548,25.91799,.75999,2.15,4.88,4.24539,6.9443,16.34,7.13,10.09,.07,13.39,14.42,.38,1.59,16.22,6451.3374,,1.92,39.36486,29.97,-2.40001,2456.53002,1342,2437,2024,15.14,89804,,-3.7,29.97,YES,
AUTOMATIC DATA,ADP,2736.56201,.08,.05,-1.07,.08,3.33,0,.69,.62,.62,3.14,3.09,0,.52,0,.00636,7.57,7.93,87.38,109.93,-7.03,8.65,3.14,1.02,.02,0,3.28,2.92,0,62.5,.87,2.86,15.79,84.745,84.75,71.42,100,482.06,2043799.63,40851.93,Business Services,YES,OUTSOURCING,78.7,16,0,,0,,2.5,6.25,10,1,0,0,5,31.25,NSDQ,11268.32519,7.34,6670.20019,3746.10009,0,11.5,25833.40039,0,1800.40002,12.46,.12,,.34845,8.82689,12.09,23908,-4.56,.6,.68,7221.3999,2711.30004,1.11,.1867,0,1.08,1.00522,7.07509,1.875,2.81,4.34,4.07569,21.822,29.03,23.43,23.48,.01,20.97,25.85,3.42,7.01,27.43,2917.99462,9.8,2.27,7.82416,3.73,7.83183,1948.09997,1515.90002,2280.69995,2274.60009,4.88,12206.5,2.96,6.74,3.73,YES,
ALLIANCE DATA,ADS,1479.47998,.02,-2.95,-4.67,.08,4.49,6.61,4.02,3.25999,3.26,9.44,10.89,0,3.22,.39,.00399,18.9,18.61,138.88,95,24.26,15.26,9.41,3.29,.02,0,14.17,11.73,0,33.33,1.24,8.44,17.76,284.98,294.27,233.67,84.67,59.41,685831.81,16931.23,Business Services,YES,FINANCIAL TRANSACTION SERVICES,296.46,15,0,,-2.99,,1.87,0,5,0,0,0,10,66.67,NYSE,5295.53808,.71,855.76,2196.10009,0,7275.00976,10400.83984,0,8526.61035,13.9,.11,,.35157,,19.46,4512.49023,-1.37,3.12,3.1,2549.1499,1406.18994,2.12,22.70199,7.15,2.3,.41534,.58789,0,0,4.89,4.8547,13.012,24.3,9.95,71.93,.07,14.79,20.12,3.41,14.64,26.17,2418.74755,17.07,0,16.83389,20.22,17.50621,938.60797,496.17001,1098.91003,793.40997,8.39,4319.1,1.42,17.55,20.22,YES,
AUTODESK INC,ADSK,632.83697,0,0,0,0,41.18,0,22.33,.23999,.24,1.26,1.04,0,0,0,.01408,7.14,-1.66,54.84,,-43.65,-11.27,1.17,.22,.08,,.95,.71,0,21.43,1.85,5.19,5.58,59.2,59.2,41.71,100,227.24,2686526,13452.37,Computer and Technology,YES,COMP-SOFTWARE,65,14,0,33,0,53,1.5,0,3,0,0,0,11,78.57,NSDQ,2465.17895,3.19,2261.5,1073,0,746.40002,2835,0,423.70001,10.24,.1,,.51923,,10.02,1071.5,7.06,.11,.17,274.29998,408.79998,2.12,24.645,,2.65,2.25039,6.697,0,0,5.32,8.5163,13.88399,83.38,8.11,10.8,.13,31.99,62.53,5.67,5.91,56.92,4484.12402,10.02,0,,-22.61,-7.51819,417.45599,228.8,279.89999,279.89999,17.65,2273.9,8.33,15.16,-22.61,YES,
ADT CORP,ADT,891.5,-.08,0,-.67,0,19.57,11.36,5.23,.55,.55,1.84,1.93,0,-.23,0,.03898,2.87,2.51,107.97,,6.35,5.75,1.97,.5,.06,,2.18,2.1,0,71.43,1.41,-2.7,9.07,36.07,44.01,28.08,50.16,174.01,1611977.88,6276.47,Business Services,YES,BUSINESS INFO SVCS,44.25,7,0,7,-4.08,113,2.43,0,5,0,0,0,2,28.57,NYSE,3572.52392,2.5,4322,6398,0,3373,580,66,86,10.98,,19.93,.33652,,18.03,758,-18.9,.49,.5,1378,1690,.97,60.061,,,,38.747,.725,,3.69,8.04749,10.154,17.22,4.76,10.7,.06,5.65,16.51,1.86,2,18.69,1046.07824,8.5,2.22,,-24.11,6.85279,1343,421,760,642,-10.87,3309,2.03,7.29,-24.11,YES,
AMEREN CORP,AEE,1528.04003,-.23,0,-20,.6,-3.23,8.77,22.22,1.2,1.2,2.1,2.41,0,.17,0,.00877,-4.81,-14.5,70.17,11.11,13.39,-13.22,2.07,.29,.11,7.69,2.57,2.38,0,77.78,.4,9.81,8.66,42.42,43.4,34.81,88.59,242.63,1699534.25,10292.58,Utilities,YES,UTIL-ELEC PWR,40.5,9,0,53,0,215,2.56,0,7,0,0,0,2,22.22,NYSE,6066.43505,-.38,6686,433,0,5504,1972,526,600,10.05,.05,7.013,.27722,1.10969,27.67,2461,6.75,1.24,.13,3490,1988,.92,46.455,.84,.59,.34376,9.19279,1.6,5.01,2.75,2.5936,4.20879,17.82,4.94,8.74,,8.09,16.52,1.71,1.49,17.6,1143.61962,8.3,3.77,170.15892,163.61,129.67146,1273,289,1227,829,17.31,5838,2.15,-5.52,163.61,YES,
AMER ELEC PWR,AEP,4717.57324,-.37,1,-.28,-2.55,-1.94,6.67,9.56,1.00999,1.01,3.23,3.56,0,.04,3.14,.00704,3.6,3.04,85,50.5,7.48,4.53,3.19,1,.18,-5.88,3.56,3.47,0,46.67,.4,13.16,8.05,57.87,59.74,45.78,86.61,489.24,3312326.75,28312.32,Utilities,YES,UTIL-ELEC PWR,57,15,0,27,0,215,2,0,7,0,0,0,8,53.33,NYSE,17082.94335,-.69,16086,91,0,16828,4310,1423,1860,10.41,.1,8.41339,.29174,4.15869,34.49,6112,12.67,1.03,.51,9642,4890,.55,48.164,.93,.47,.16803,8.8091,1.95,4.54,3.04,2.82279,4.8565,16.67,5.33,10.55,.12,8.18,16.24,1.7,1.68,16.26,2177.87084,4.92,3.66,43.01075,54.89,17.55361,3447,1480,3016,2110,23.81,15400,3.39,3.3,54.89,YES,
AES CORP,AES,5025.50292,-.95,0,-5.65,3.15,8.82,0,-.48,.37,.37,1.29,1.18,0,-4.97,0,.00419,2.54,-12.4,181.38,142.16,1.24,4.03,1.29,.3,.35,0,1.36,1.31,0,30,1.07,-12.41,-3.04,13.06,15.57,12.84,8.06,723.27,6378817,9445.89,Utilities,YES,UTIL-ELEC PWR,16.39,10,.03,16,-2,215,1.7,0,3,0,0,0,7,70,NYSE,16885.05859,-6.38,7651,1919,0,18869,7739,684,2363,5.5,.01,19.35899,.40417,,10.35,7653,-18.1,.34,.53,12644,2342,1.12,72.411,2.47,.92,.61309,6.5741,.15999,.53,2.16,1.9392,2.9179,10,3.35,11.38,.49,4.18,9.6,.56,1.25,11.07,1889.17871,5.12,1.53,94.75524,-27.88,112.5,2256.3601,114,1048,1048,-9.99,15891,1.95,5.14,-27.88,YES,
AETNA INC-NEW,AET,14574.84082,1.24,.22,-6.31,-.04,13.29,4.97,11.11,1.78999,1.79,5.85,6.8,0,-1.02,.18,.00643,10.26,29.23,92.43,69.2,14.19,14.04,5.87,1.96,.05,-1.61,7.11,6.68,0,35.29,1.04,9.09,7.73,84.7,84.94,62.56,98.93,351.7,3245069.5,29788.99,Medical,YES,MED-HMO,88.64,17,0,3,0,189,1.74,0,6,0,0,0,11,64.71,NYSE,57706.05468,5.09,14078.20019,12321.5996,0,7865.2998,8420.79003,0,4944.70019,4.37,.04,,1.08399,119.164,42.25,21251.5,12.37,1.58,1.24,35246.39843,3862.3999,.41,33.673,.51,.4,.16356,10.644,.8,1.04,4.74,4.2596,11.206,12.68,11.1,16.96,.07,11.57,11.91,.53,2,12.46,2127.78491,10.19,1.06,22.52536,25.53,15.42312,2689.30004,1913.59997,3274.19995,2940.5,23.49,47294.6,1.24,21.15,25.53,YES,
AFLAC INC,AFL,5579.94677,0,-.77,-5.82,-.36,5.59,4.4,4.25,1.50999,1.51,6.18,6.26,0,-1.05,1.19,.00394,6.12,-5.62,94.61,87.72,.08,-6.36,6.17,1.62,.02,0,6.3,6.18,0,60,1.53,-.96,4.57,59.53,67.48,55.8,31.93,450.59,2651310.75,26823.45,Finance,YES,INS-ACC & HLTH,67.38,15,-.05,4,1.98,21,2.27,0,9,0,0,0,6,40,NYSE,22715.05078,-.85,14620,0,0,4897,4506,0,1963,12.46,.13,,.24707,7.0882,.04,89402,-18.91,1.43,1.32,15341,5109,.05,20.31299,.26,.05,.02844,13.33199,1.41999,2.52,2.29,2.64849,18.34799,9.62,18.32,17.45,.04,9.4,9.45,1.17,1.51,9.51,1915.96032,7.08,2.49,-13.6135,-4.6,10.18841,2887,3158,5109,4816,-10.88,23939,1.36,5.07,-4.6,YES,
ALLERGAN INC,AGN,1900.87805,8.5,1.69,11.03,19.73,1.14,4.86,3.03,1.77999,1.78,4.77,5.82,0,3.76,-2.8,.00137,8.86,8.51,134.6,102.08,31.8,15.22,4.76,1.81,0,0,8.57,6.29,0,28.57,.72,26.86,5.25,197.4,197.4,88.48,100,297.81,2851046.25,58787.89,Medical,YES,LARGE CAP PHARMA,189.67,14,0,8,3.43,66,1.86,7.14,4,1,0,0,9,64.29,NYSE,7187.99902,4.2,6469.5,3989.3999,0,2098.30004,5319.70019,285.29998,883.29998,25.14,.16,2.8415,.63704,0,23.92,1244.30004,61.71,1.76,1.82,795.79998,2048.60009,3.9,22.683,.29,4.05,3.33609,7.1988,.2,.24,16.05,13.611,16.974,31.4,19.93,26.11,.02,36.1,23.03,8.38,8.25,33.92,6531.98779,17.66,.1,36.06764,30.55,-10.34766,1681.90002,985.09997,1805.80004,1730.80004,77.71,6300.4,1.78,15.27,30.55,YES,
AMER INTL GRP,AIG,9894.5,2.11,-.18,1.81,1.54,12.04,19.05,15.73,1.21,1.21,4.56,4.82,0,-.48,-10.59,.02865,-6.32,4.6,94.41,89.73,2.78,16.03,4.37,1.24,.09,0,4.95,4.69,0,47.06,1.67,-.28,6.92,53.91,56.33,46.88,74.39,1399.91,9861572,75469.26,Finance,YES,INS-MULTI LINE,60.23,17,.06,13,2.7,133,2,0,8,0,0,0,9,52.94,NYSE,38990.5,1.85,101081,0,0,41693,86154,0,39673,10.76,.13,,.11552,,75.06,271252,-3.9,1.08,1.09,42561,16223,.29,26.13299,.33,.32,.17135,1.4951,.2,.19,1.31,.45276,1.15789,11.5,4.66,6.65,.07,6.92,10.89,1.18,.71,11.19,5031.28369,10.55,.93,211.46385,181.11,164.25247,11475,9085,11510,9368,5.6,68678,1.09,58.7,181.11,YES,
APARTMENT INVT,AIV,243.47599,-.12,0,0,0,0,1.96,1.45,.50999,.51,2.04,2.1,0,-.11,-.83,.0051,-4.96,-5.72,94.99,106.16,1.78,10.87,2.04,.53,.03,1.85,2.22,2.08,0,55.56,.9,8.03,9.61,35.93,36.42,25,95.71,146.21,1518444.25,5253.15,Finance,YES,REIT-EQTY TRUST - RESID,35.71,9,0,11,9.09,174,2.22,0,5,0,0,0,4,44.44,NYSE,963.77801,4.18,1104.63,0,68.11,4388.18017,185.92999,0,0,30.98,.21,,.16427,29.58699,8.6,330.75,26.19,.51,.54,380.01,566.48999,.59,73.68,3.15,.56,.56214,121.594,.95999,2.64,5.09,-.49881,-.79475,17.31,5.49,26.47,.02,15.33,16.17,5.29,4.18,17.11,656.64324,6.35,2.89,166.90246,157.01,56.50434,341.971,207.28999,269.67001,32.63,38.67,974.05,2.72,8.31,157.01,YES,
